"header_name","data_name"
"PLAYER",""
"TEAM",""
"DATE",""
"MATCHUP",""
"W/L",""
"MIN",""
"PTS",""
"FGM",""
"FGA",""
"FG%",""
"3PM",""
"3PA",""
"3P%",""
"FTM",""
"FTA",""
"FT%",""
"OREB",""
"DREB",""
"REB",""
"AST",""
"STL",""
"BLK",""
"TOV",""
"PF",""
"+/-",""
"","Edmond Sumner"
"","IND"
"","08/18/2020"
"","IND vs. MIA"
"","L"
"","27"
"","6"
"","2"
"","4"
"","50.0"
"","0"
"","1"
"","0.0"
"","2"
"","2"
"","100.0"
"","1"
"","5"
"","6"
"","0"
"","0"
"","0"
"","1"
"","3"
"","-6"
"","George Hill"
"","MIL"
"","08/18/2020"
"","MIL vs. ORL"
"","L"
"","27"
"","16"
"","5"
"","9"
"","55.6"
"","2"
"","4"
"","50.0"
"","4"
"","5"
"","80.0"
"","0"
"","2"
"","2"
"","5"
"","1"
"","0"
"","1"
"","1"
"","-11"
"","Victor Oladipo"
"","IND"
"","08/18/2020"
"","IND vs. MIA"
"","L"
"","9"
"","4"
"","0"
"","2"
"","0.0"
"","0"
"","1"
"","0.0"
"","4"
"","4"
"","100.0"
"","0"
"","0"
"","0"
"","0"
"","1"
"","0"
"","1"
"","1"
"","2"
"","Goran Dragic"
"","MIA"
"","08/18/2020"
"","MIA @ IND"
"","W"
"","34"
"","24"
"","9"
"","19"
"","47.4"
"","4"
"","9"
"","44.4"
"","2"
"","2"
"","100.0"
"","2"
"","4"
"","6"
"","5"
"","1"
"","0"
"","1"
"","2"
"","20"
"","T.J. Warren"
"","IND"
"","08/18/2020"
"","IND vs. MIA"
"","L"
"","38"
"","22"
"","9"
"","18"
"","50.0"
"","4"
"","5"
"","80.0"
"","0"
"","0"
"","-"
"","2"
"","6"
"","8"
"","3"
"","4"
"","0"
"","2"
"","4"
"","-13"
"","Evan Fournier"
"","ORL"
"","08/18/2020"
"","ORL @ MIL"
"","W"
"","36"
"","9"
"","3"
"","8"
"","37.5"
"","3"
"","7"
"","42.9"
"","0"
"","0"
"","-"
"","0"
"","3"
"","3"
"","5"
"","0"
"","0"
"","3"
"","4"
"","9"
"","Justin Holiday"
"","IND"
"","08/18/2020"
"","IND vs. MIA"
"","L"
"","32"
"","11"
"","4"
"","4"
"","100.0"
"","3"
"","3"
"","100.0"
"","0"
"","0"
"","-"
"","1"
"","2"
"","3"
"","0"
"","0"
"","1"
"","2"
"","4"
"","1"
"","Brook Lopez"
"","MIL"
"","08/18/2020"
"","MIL vs. ORL"
"","L"
"","30"
"","5"
"","2"
"","9"
"","22.2"
"","0"
"","4"
"","0.0"
"","1"
"","2"
"","50.0"
"","2"
"","2"
"","4"
"","1"
"","1"
"","1"
"","1"
"","2"
"","-11"
"","D.J. Augustin"
"","ORL"
"","08/18/2020"
"","ORL @ MIL"
"","W"
"","23"
"","11"
"","3"
"","11"
"","27.3"
"","1"
"","4"
"","25.0"
"","4"
"","4"
"","100.0"
"","0"
"","3"
"","3"
"","11"
"","1"
"","0"
"","2"
"","0"
"","4"
"","Michael Frazier"
"","HOU"
"","08/18/2020"
"","HOU vs. OKC"
"","W"
"","2"
"","0"
"","0"
"","0"
"","-"
"","0"
"","0"
"","-"
"","0"
"","0"
"","-"
"","0"
"","0"
"","0"
"","0"
"","0"
"","0"
"","0"
"","0"
"","-2"
"","Terrence Ross"
"","ORL"
"","08/18/2020"
"","ORL @ MIL"
"","W"
"","28"
"","18"
"","7"
"","13"
"","53.8"
"","0"
"","3"
"","0.0"
"","4"
"","4"
"","100.0"
"","0"
"","6"
"","6"
"","1"
"","1"
"","0"
"","1"
"","5"
"","19"
"","Nerlens Noel"
"","OKC"
"","08/18/2020"
"","OKC @ HOU"
"","L"
"","8"
"","2"
"","1"
"","3"
"","33.3"
"","0"
"","0"
"","-"
"","0"
"","0"
"","-"
"","1"
"","0"
"","1"
"","0"
"","0"
"","1"
"","0"
"","4"
"","-11"
"","Khem Birch"
"","ORL"
"","08/18/2020"
"","ORL @ MIL"
"","W"
"","14"
"","4"
"","1"
"","2"
"","50.0"
"","0"
"","0"
"","-"
"","2"
"","2"
"","100.0"
"","1"
"","2"
"","3"
"","0"
"","0"
"","0"
"","0"
"","3"
"","5"
"","Tyler Herro"
"","MIA"
"","08/18/2020"
"","MIA @ IND"
"","W"
"","34"
"","15"
"","5"
"","9"
"","55.6"
"","1"
"","5"
"","20.0"
"","4"
"","4"
"","100.0"
"","0"
"","3"
"","3"
"","4"
"","1"
"","0"
"","2"
"","2"
"","6"
"","Darius Bazley"
"","OKC"
"","08/18/2020"
"","OKC @ HOU"
"","L"
"","17"
"","9"
"","3"
"","5"
"","60.0"
"","3"
"","4"
"","75.0"
"","0"
"","0"
"","-"
"","0"
"","9"
"","9"
"","1"
"","0"
"","0"
"","2"
"","1"
"","-4"
"","Wes Iwundu"
"","ORL"
"","08/18/2020"
"","ORL @ MIL"
"","W"
"","12"
"","4"
"","2"
"","3"
"","66.7"
"","0"
"","0"
"","-"
"","0"
"","1"
"","0.0"
"","0"
"","3"
"","3"
"","0"
"","0"
"","0"
"","1"
"","2"
"","3"
"","Deonte Burton"
"","OKC"
"","08/18/2020"
"","OKC @ HOU"
"","L"
"","2"
"","0"
"","0"
"","0"
"","-"
"","0"
"","0"
"","-"
"","0"
"","0"
"","-"
"","0"
"","0"
"","0"
"","0"
"","0"
"","0"
"","0"
"","0"
"","2"
"","Jimmy Butler"
"","MIA"
"","08/18/2020"
"","MIA @ IND"
"","W"
"","37"
"","28"
"","8"
"","15"
"","53.3"
"","2"
"","2"
"","100.0"
"","10"
"","12"
"","83.3"
"","0"
"","3"
"","3"
"","4"
"","4"
"","2"
"","4"
"","3"
"","13"
"","LeBron James"
"","LAL"
"","08/18/2020"
"","LAL vs. POR"
"","L"
"","41"
"","23"
"","9"
"","20"
"","45.0"
"","1"
"","5"
"","20.0"
"","4"
"","7"
"","57.1"
"","2"
"","15"
"","17"
"","16"
"","1"
"","0"
"","4"
"","1"
"","-3"
"","James Ennis III"
"","ORL"
"","08/18/2020"
"","ORL @ MIL"
"","W"
"","31"
"","11"
"","3"
"","5"
"","60.0"
"","2"
"","3"
"","66.7"
"","3"
"","3"
"","100.0"
"","0"
"","8"
"","8"
"","2"
"","2"
"","1"
"","0"
"","4"
"","12"
"","Eric Gordon"
"","HOU"
"","08/18/2020"
"","HOU vs. OKC"
"","W"
"","30"
"","21"
"","7"
"","17"
"","41.2"
"","2"
"","6"
"","33.3"
"","5"
"","5"
"","100.0"
"","0"
"","3"
"","3"
"","4"
"","0"
"","0"
"","2"
"","3"
"","-5"
"","Malcolm Brogdon"
"","IND"
"","08/18/2020"
"","IND vs. MIA"
"","L"
"","39"
"","22"
"","6"
"","18"
"","33.3"
"","1"
"","6"
"","16.7"
"","9"
"","10"
"","90.0"
"","0"
"","1"
"","1"
"","10"
"","1"
"","0"
"","3"
"","1"
"","-9"
"","Jae Crowder"
"","MIA"
"","08/18/2020"
"","MIA @ IND"
"","W"
"","25"
"","8"
"","3"
"","6"
"","50.0"
"","2"
"","5"
"","40.0"
"","0"
"","0"
"","-"
"","0"
"","5"
"","5"
"","0"
"","0"
"","0"
"","1"
"","1"
"","0"
"","JaKarr Sampson"
"","IND"
"","08/18/2020"
"","IND vs. MIA"
"","L"
"","17"
"","10"
"","5"
"","6"
"","83.3"
"","0"
"","0"
"","-"
